Geneid	KEGG_ko
gene5572	K04674,K04675,K13567,K13568,K13578
gene4471	K01087,K16055
gene4472	K01087,K16055
gene4474	K01087,K16055
gene4761	K03122
gene4762	K02540
gene4763	K19613
gene10404	K14805
gene10405	K12823
gene12564	K06237
gene10766	K04491
gene182	K10523
gene183	K07874,K19194,K19195
gene184	K09645
gene187	K17429,K17920
gene190	K07197,K09107
gene191	K14808
gene194	K19801
gene1	K17555
gene2	K09228
gene3	K14965
gene5	K09228,K09229
gene6	K09228,K09229
gene7	K10870
gene9	K08342
gene13	K15112,K19347
gene14	K06826
gene15	K07199
gene18	K09228
gene19	K09228
gene20	K08883,K20044
gene22	K05674
gene23	K19952
gene24	K09228
gene1276	K05677
gene1278	K15149
gene1281	K04266
gene1283	K14620
gene7698	K22037
gene7203	K09508,K09509,K09512
gene2197	K03283
gene2198	K03283
gene2199	K02088,K02206
gene2200	K04531,K20055
gene2201	K04531,K20055
gene8748	K05052,K05053
gene2448	K01185
gene2449	K01185,K13915
gene2450	K01185
gene2451	K11324
gene8689	K10251
gene8690	K10582,K19362
gene8691	K17796
gene1317	K07924,K07925
gene1318	K02877,K15276
gene1320	K17433
gene1321	K06971
gene1322	K02128
gene1323	K09228,K09229
gene3236	K13443
gene3237	K19656
gene3239	K14998
gene3240	K00012
gene8154	K18083
gene12028	K06753,K06754,K06755
gene8760	K06084
gene8762	K14958,K18529
gene3911	K08964
gene3912	K08489
gene3913	K12160
gene3914	K11884
gene3915	K03957
gene3918	K02266
gene3919	K00681,K18592
gene7074	K19404
gene7075	K19404
gene7076	K19404
gene7077	K19404
gene4297	K10744
gene4298	K19589,K20002
gene4299	K21890
gene4300	K07881
gene4302	K14571
gene4303	K06634
gene2090	K22385
gene2091	K11830
gene2092	K03331
gene2093	K13206,K17986
gene2094	K02355
gene2095	K00252
gene2097	K00451
gene11723	K04153,K04163
gene2045	K06265
gene2046	K06947
gene2047	K00128,K00129,K04513
gene13209	K03953
gene2422	K09293,K09383,K15608
gene2423	K08204,K08815
gene2425	K09098
gene2426	K09098
gene2427	K16175
gene784	K06101
gene785	K06101
gene786	K01187,K05546
gene787	K19937
gene14306	K11426
gene10127	K05291
gene6310	K09594
gene6311	K02883,K21442
gene6312	K19583
gene6313	K19583
gene2245	K16687
gene2246	K16687
gene2247	K15166
gene11977	K03440
gene11978	K17981
gene9433	K03283
gene6337	K10591,K13305
gene595	K14165
gene597	K01116,K05859
gene598	K12820,K14305
gene599	K03687
gene14263	K09866
gene5050	K07304
gene5051	K07304
gene5054	K12180
gene5055	K03016
gene5056	K01187,K14210
gene5057	K01187,K14210
gene2960	K17495
gene2961	K09228,K09229
gene2963	K08592
gene2964	K16453
gene691	K18646,K18647
gene692	K15164
gene693	K15164
gene694	K17431
gene8414	K09228
gene8415	K08145
gene7739	K19197,K19198
gene2070	K11447
gene9598	K01183
gene9183	K17922
gene7533	K12188
gene12232	K03265
gene11969	K02127
gene5929	K17866
gene4255	K02576,K02577,K02578,K02579
gene1235	K05995
gene1236	K05995
gene1237	K14831
gene648	K21841
gene649	K21841
gene650	K14463
gene651	K05719
gene652	K11151,K15734
gene3034	K08825,K08881,K08883
gene3036	K01953
gene6036	K13099
gene6037	K01647
gene6038	K12189
gene4147	K22077
gene4149	K15029
gene4150	K12597
gene4151	K04506,K08742
gene4152	K04255
gene854	K21797
gene855	K17408
gene860	K12852
gene861	K15305
gene862	K03935
gene864	K01251
gene865	K17498
gene866	K01672
gene867	K04514,K16307,K17388
gene868	K17265
gene7768	K07943,K21596
gene7769	K20673
gene7770	K20673
gene7771	K20673
gene7772	K20673
gene7775	K17618
gene7776	K10606
gene2789	K17441
gene2791	K02513
gene2793	K12845
gene2796	K15191
gene2797	K14050
gene2798	K06965
gene10395	K08547,K08549,K14032
gene9822	K09228
gene9824	K09228
gene3765	K17264
gene2739	K04460,K11800
gene2741	K20403
gene2744	K09640
gene2745	K19984
gene2746	K13295
gene2747	K06125
gene2285	K21877
gene2286	K10085
gene2287	K03240
gene2288	K02367
gene2289	K21773
gene2290	K14295
gene2291	K02918
gene2292	K11426
gene2293	K11883
gene103	K02941
gene104	K22070,K22071
gene105	K20042
gene106	K00030,K14832
gene107	K14572
gene108	K14572
gene109	K06734
gene10487	K09580
gene4260	K07955
gene4261	K17562
gene4262	K12870
gene4263	K14035
gene10914	K18422
gene10915	K18422
gene10916	K18422
gene2221	K01183
gene2223	K10369
gene10795	K20072
gene8900	K04440
gene11490	K14209
gene3663	K09228,K09229
gene3664	K09228,K09229
gene3665	K09228,K09229
gene3670	K09228,K09229
gene3671	K09228,K09229
gene3672	K09228,K09229
gene3673	K09228,K09229
gene3674	K09228,K09229
gene3675	K03950
gene5079	K08028,K09081,K09082
gene14073	K14165
gene14074	K00237
gene10744	K13676
gene10745	K12598
gene12205	K22422
gene6754	K03873
gene3202	K00232
gene3203	K14156
gene14432	K08658
gene14433	K10297
gene14434	K21407
gene14435	K11098
gene14436	K05954
gene14437	K10146
gene6369	K13948
gene6370	K13948,K13949
gene6371	K09191
gene6372	K02943
gene6373	K01229,K05350
gene6137	K12846
gene6138	K15414
gene6139	K12888,K15047,K15698
gene2364	K09519
gene2367	K08816
gene2368	K15448
gene9227	K19199
gene3224	K05679
gene3225	K05679
gene3226	K05679
gene3227	K05679
gene3228	K05679
gene3229	K05679
gene3230	K05679
gene8109	K09279,K20213
gene800	K04676,K13145
gene801	K18162
gene804	K18168
gene805	K08734
gene806	K12589
gene808	K12186
gene809	K06678
gene3128	K12164
gene3129	K00621
gene3131	K14313
gene3132	K03348
gene3133	K17563
gene3134	K14855
gene3136	K14320
gene3138	K04370
gene3139	K14766
gene3140	K09586
gene8926	K14353,K14356
gene825	K16758
gene6788	K08595,K08596
gene6789	K08595,K08596
gene3064	K02134
gene3065	K13356
gene3066	K13356
gene3067	K00600
gene7668	K15053
gene7669	K01408
gene8334	K16832
gene6208	K13125
gene6209	K13868
gene6210	K12823,K13178
gene14571	K01487,K11265
gene14572	K01487
gene14574	K00515,K10252,K18048
gene14575	K19572
gene14576	K01104,K14394
gene14577	K01104,K14394
gene14018	K15001
gene5778	K01191
gene9954	K21863
gene2845	K21424
gene2846	K01291,K01298
gene5919	K17493
gene5920	K17493
gene5921	K11251
gene5922	K11252
gene5923	K11254
gene5924	K10424
gene5925	K11423
gene473	K09540
gene2056	K16811
gene2057	K06109,K07901,K07902,K07976
gene2059	K11837
gene12797	K06053,K18196
gene9870	K12321,K12322
gene9871	K12321,K12322
gene398	K17943
gene399	K03036
gene400	K00670
gene401	K01158
gene405	K07427,K15001,K15007
gene406	K07427,K15001,K15007
gene407	K07427,K15001,K15007
gene408	K07427,K15001,K15007
gene409	K15001,K15007
gene410	K07427,K15001,K15007
gene411	K15007
gene11627	K09228
gene11629	K03521
gene11630	K01082
gene11631	K01904
gene4118	K06108,K07882,K07883
gene4119	K10718
gene12193	K11135
gene8313	K11986
gene8314	K16536,K16611
gene9898	K01205
gene7516	K10408
gene1690	K11253,K11275
gene1691	K17509
gene10260	K04377
gene528	K14388
gene530	K15630,K16582,K21138
gene531	K14709
gene533	K02270
gene535	K09650
gene536	K01070
gene8321	K07750,K22282
gene8323	K08049
gene6053	K14376
gene6055	K04571
gene10484	K17804
gene203	K02957
gene204	K16353
gene205	K16353
gene208	K05313
gene209	K05313
gene9112	K11514
gene9928	K10950,K10976
gene11956	K10483,K10521
gene6741	K17541
gene6742	K06756,K06759,K06760,K06761,K06762,K06763,K06764
gene6743	K04699
gene6744	K10625,K10626
gene6745	K10625,K10626
gene4162	K08091,K09593,K20231
gene4163	K19573
gene4164	K10436
gene1395	K19176
gene1396	K02735
gene1399	K13280
gene3525	K11347,K22155,K22156
gene3526	K11347,K22155,K22156
gene3527	K20125
gene3528	K11662
gene3529	K19931
gene3530	K14852
gene12924	K09228
gene12925	K09228
gene12926	K11479
gene13871	K13868
gene10374	K17820
gene8885	K04559,K20040
gene2012	K14321,K18716
gene2013	K07478
gene2014	K07478
gene2015	K16461
gene2016	K01016,K01025
gene2017	K01016,K01025
gene2018	K01016,K01025
gene2019	K01016,K01025
gene2020	K01016,K01025
gene2021	K16461
gene2023	K16461
gene2026	K01081,K19970
gene6917	K20464,K22285
gene519	K07868
gene520	K04958
gene521	K04958
gene522	K09507,K09510,K09511
gene523	K06095
gene1717	K03243,K12162
gene1718	K16722,K16725
gene5043	K06497
gene5044	K06497
gene5045	K10895
gene11785	K03678,K12586
gene10811	K00799
gene10812	K00799
gene10813	K00799
gene10814	K00799
gene10815	K00799
gene10816	K00799
gene10817	K00799
gene1597	K03350
gene1598	K01456
gene1599	K09228
gene1601	K18588
gene1602	K09567
gene1603	K01590,K01593,K22329
gene8730	K13443
gene9383	K17797
gene9384	K09624,K13912
gene49	K05287
gene50	K20305
gene51	K17885
gene52	K03103
gene53	K03103
gene54	K04079
gene55	K04079
gene57	K07378
gene59	K03952
gene60	K09070
gene62	K09321
gene63	K20296
gene64	K00710
gene13969	K08469
gene9966	K09614
gene4555	K14169
gene4556	K21436
gene5997	K04163
gene5998	K04432,K04433
gene6000	K07573
gene770	K00167
gene772	K16550
gene10030	K07295,K08545,K08546
gene10031	K07295,K08545,K08546
gene12886	K09228,K09230
gene4396	K02370
gene4397	K20640
gene4398	K12620
gene4399	K17800
gene4400	K10408
gene3148	K13092
gene3149	K00888
gene3151	K05743,K05744
gene12575	K11878
gene353	K01044,K01049,K01050,K01063,K03927,K15743
gene354	K12195
gene355	K17617
gene356	K13343
gene357	K08597,K14764
gene358	K00699,K04628
gene359	K00699,K04628
gene360	K21878
gene361	K00106
gene362	K00106
gene363	K05658
gene364	K12855
gene366	K11298
gene368	K08074
gene369	K14621
gene370	K14621
gene371	K14621
gene372	K14621
gene375	K08471
gene6406	K09574
gene6407	K06972,K20175
gene6409	K03245
gene6410	K14428
gene14224	K14999,K15003
gene12827	K13101,K13566
gene12828	K13101,K13566
gene12829	K13101,K13566
gene12830	K00477,K18741
gene6326	K00856
gene5357	K10956
gene3756	K04950
gene3757	K04950
gene1874	K02958
gene1876	K01893
gene1877	K17422
gene1879	K14400
gene1880	K18668
gene1881	K18668
gene1885	K11128
gene1886	K12622
gene1887	K00049,K13403
gene1889	K09131
gene2208	K16479
gene2212	K02187,K04397,K04489
gene11657	K06530
gene11658	K17605
gene13187	K12378
gene11085	K07928
gene3419	K19363
gene10863	K16675
gene10864	K00802
gene9642	K02145
gene2733	K14327
gene2734	K18630
gene3840	K01176
gene3843	K01870,K02737,K08471
gene3844	K04798
gene3845	K20406
gene3846	K00856
gene3847	K09189
gene3848	K04459,K14819,K18498,K20216,K21946
gene11178	K04506,K11153,K11161
gene4547	K01886
gene2768	K00871,K09115
gene2769	K04730
gene2770	K00949
gene2771	K01893,K02902
gene2772	K14767
gene13342	K10881
gene13343	K15210
gene4479	K21988
gene4480	K20825
gene3402	K05940
gene3403	K07565
gene3404	K14708
gene3405	K14006
gene3406	K17610,K17611
gene1123	K00020
gene1124	K14018
gene1128	K06226
gene1132	K00993
gene488	K17603
gene489	K10866,K13912
gene490	K15607
gene491	K15607
gene7323	K15108
gene6585	K11426
gene4054	K06271
gene603	K02148
gene604	K01189,K01204
gene605	K01641
gene606	K16364
gene607	K17423
gene608	K02449
gene609	K17560
gene610	K15728
gene611	K16186
gene612	K14209
gene614	K01768
gene615	K05635,K06247
gene616	K16513
gene617	K18161
gene618	K12602
gene620	K09301
gene14358	K10586
gene14359	K15199
gene14360	K17607
gene14361	K14343
gene14362	K12663
gene14363	K11317
gene14364	K08202,K08209,K08210
gene14365	K18730
gene14369	K05866,K05867,K06645,K16723
gene14370	K10586
gene1499	K01312,K09640
gene1500	K03844
gene1501	K19599
gene1502	K20397
gene1503	K11670,K11680
gene9917	K03065,K05048
gene5022	K10608
gene5023	K02896
gene5026	K02973
gene5027	K03015,K09186
gene5028	K02912
gene5029	K02157,K04385
gene1853	K04650
gene1855	K04650,K06065
gene5294	K11831
gene5295	K10779
gene5296	K01969,K17425
gene14348	K05312
gene14349	K05312
gene14350	K05312
gene14352	K02135
gene14353	K01597
gene14355	K10693
gene6614	K14773
gene6615	K12616
gene14381	K15627
gene14382	K21914,K22383
gene14383	K13170
gene14386	K14286,K18202
gene10292	K20692,K20697
gene10293	K20692,K20697
gene10294	K15331,K15332
gene14011	K14394
gene14476	K10661
gene14477	K14845
gene14478	K17711
gene14479	K03259
gene14481	K19269,K21013
gene14482	K19269,K21013
gene14483	K19269,K21013
gene14484	K19269,K21013
gene1181	K08272
gene1182	K05313
gene1184	K12196
gene1185	K06096,K10707
gene1187	K12592
gene1188	K10765
gene8936	K09228
gene8937	K09228
gene1457	K19332
gene1458	K02857
gene1460	K13109
gene1461	K01958
gene3553	K13172
gene3556	K13172
gene3557	K02893
gene3558	K10608
gene14466	K16310
gene13505	K17916
gene13507	K19805
gene13508	K03849
gene5697	K01183
gene4703	K02156
gene4704	K02183
gene11246	K01873,K03847
gene679	K12567
gene681	K09504
gene682	K10847
gene684	K06086
gene5253	K10349
gene5255	K18745
gene4932	K10523
gene4933	K10523
gene4934	K11319
gene13548	K11142
gene13549	K10143
gene13833	K00772
gene10683	K07376
gene1545	K09068,K15604
gene1546	K19323
gene1547	K05290
gene1554	K12619
gene2653	K06883
gene2654	K13963
gene2655	K13336
gene2656	K15296
gene2657	K00753,K07635,K14464
gene2658	K08737
gene11676	K05673,K07374
gene11678	K17680
gene9523	K03027
gene9524	K12666
gene9525	K17261
gene10779	K09228
gene10387	K01869
gene6902	K13517
gene6903	K06678
gene6904	K09142
gene6905	K18633
gene6906	K17662
gene6907	K18666
gene6908	K08886
gene6909	K08886
gene450	K13217
gene451	K08816
gene454	K02599
gene456	K11467,K11485,K11486
gene457	K00207
gene6678	K18695
gene5917	K08407,K20284
gene5918	K03211,K09428
gene669	K01802,K09566,K12740
gene670	K01620
gene673	K11140
gene674	K11140
gene675	K07432
gene676	K16743
gene677	K16743
gene678	K05502,K08076,K09608,K13045,K13046,K13047
gene11204	K02974
gene11205	K14778
gene11206	K00858
gene10036	K09228
gene10037	K09228
gene10038	K09228
gene10039	K09228,K09229
gene10040	K04564
gene7265	K21249
gene3277	K15438
gene3278	K10846,K18914
gene3280	K03217
gene3283	K15382
gene3285	K04407,K08840
gene1706	K00948
gene1707	K09580
gene1710	K18449,K18450
gene1711	K11674
gene1712	K03029
gene1713	K20310
gene5210	K00476
gene5211	K10631
gene5212	K06560,K06563,K06721,K06794,K06795,K10057,K10058,K10059,K10060,K17513,K17514,K22244
gene9289	K05236
gene9290	K00011
gene9291	K15159
gene4181	K03065
gene4182	K00573
gene4183	K18728
gene4184	K19177
gene2393	K02950
gene2394	K09057,K09062
gene2396	K12869
gene2397	K17972
gene2398	K22197
gene2399	K22197
gene14058	K14353,K14356
gene11105	K17108
gene11106	K03145
gene10381	K20294
gene11664	K02989
gene5364	K05038
gene5365	K05038
gene5366	K05038
gene2620	K18663
gene2622	K17426
gene2623	K02150
gene2624	K12605
gene2625	K16716,K16728
gene8288	K09404
gene8289	K11136
gene8291	K01691
gene8292	K06134
gene8293	K04082,K15151
gene5581	K09228
gene5582	K01164
gene5583	K06128,K06130
gene698	K19871
gene699	K06210
gene700	K00733
gene701	K14008
gene702	K19675
gene11076	K09640
gene10697	K08331
gene10698	K08331
gene13472	K07750,K22282
gene8300	K14302
gene8301	K13177
gene3355	K10706
gene3356	K02919
gene3357	K20394
gene3358	K20394
gene13065	K03122
gene13066	K02540
gene11872	K06641
gene4190	K09341
gene2913	K17356
gene3051	K22203
gene3052	K22203
gene3053	K17254
gene3054	K17254
gene3326	K01312
gene3327	K02183
gene2662	K09228
gene2664	K13344
gene2665	K09228,K09229
gene2666	K09228,K09229
gene2667	K09228,K09229
gene2671	K07206
gene7488	K20351
gene7489	K22382
gene7490	K10666
gene11079	K20225
gene11080	K20225
gene5220	K02599,K04594,K06052,K21635
gene9855	K02084
gene2274	K01672,K01674,K18246
gene2275	K01672,K01674,K18246
gene2278	K20228
gene6896	K17543
gene10281	K11271
gene314	K16343
gene315	K16343
gene316	K16343
gene318	K08360
gene319	K10753
gene320	K06928
gene321	K14721
gene322	K03859
gene323	K14688
gene324	K10730
gene325	K10579
gene13239	K14710,K14711,K14718
gene13241	K13117
gene1534	K18465
gene1535	K02187,K04397,K04489,K20008
gene1536	K09828
gene1538	K19330
gene1539	K05543
gene8246	K14999,K15003
gene8247	K14999,K15003
gene8248	K14999,K15003
gene8249	K14999,K15003
gene8250	K14999,K15003
gene8251	K14999,K15003
gene8252	K14999,K15003
gene11674	K04725,K16061
gene1818	K02895
gene636	K08471
gene637	K08471
gene640	K00505
gene12473	K02235,K02432
gene10152	K13704,K13705
gene9128	K08827
gene14100	K01873
gene13259	K14613
gene9839	K01273
gene9840	K01273
gene9841	K14401
gene5109	K01312
gene5110	K01312
gene5111	K01312
gene5112	K10576
gene1791	K22381
gene1792	K10695
gene1794	K11664
gene86	K17425,K20301
gene87	K00665
gene88	K00026
gene89	K07208
gene90	K10738,K16766,K18078
gene91	K10571
gene92	K13203
gene95	K03544
gene97	K11982
gene98	K10728,K11824
gene99	K09495
gene100	K15335
gene101	K02887
gene5199	K01166
gene5201	K17550
gene5203	K03104
gene4279	K04144,K04148,K05840
gene4280	K04144,K04148,K05840
gene4438	K09448,K17294,K17350
gene4444	K00699,K04628
gene4583	K08239
gene4584	K09027
gene4587	K22421
gene3488	K09995
gene3489	K09343,K09345,K09352,K09995
gene4497	K16542,K16549,K16718
gene4500	K12174
gene4502	K02995
gene4503	K14405
gene10502	K02561,K20017
gene3412	K19612
gene3413	K14753
gene3414	K06689
gene3376	K09647
gene3377	K10596
gene1116	K04461
gene1117	K03021
gene1118	K17776
gene2522	K14590
gene2524	K14590
gene2525	K21626
gene2529	K01414
gene2530	K14360
gene13839	K19306
gene6825	K13356
gene13294	K00699,K04628
gene6694	K10637
gene5038	K16804
gene5039	K15455
gene5041	K10093
gene5042	K17079
gene4605	K01049
gene4606	K01049
gene4607	K01049
gene4608	K01044,K01049,K01050,K01063,K03927,K14999,K15743
gene4609	K01049
gene9930	K21754
gene14142	K07424,K14999,K15003,K17689,K17690,K17691,K17692,K17860
gene7336	K14455
gene5475	K14810
gene5476	K02874
gene3298	K12829,K16061
gene3301	K14570
gene3303	K20818
gene3305	K09645
gene3306	K09585
gene13519	K01253,K05361,K10719
gene13521	K01253,K05361,K10719
gene13522	K01253,K05361,K10719
gene8911	K19404
gene11266	K08145
gene3817	K14324
gene3818	K17943
gene3015	K04634,K13104
gene3017	K05673
gene2893	K04706,K16063,K16064
gene2894	K08054,K09551
gene2895	K10608
gene4200	K04834,K04837,K04856,K21862
gene4201	K04834,K04837,K04856,K21862
gene4202	K04834,K04837,K04856,K21862
gene1026	K14999,K15003
gene1027	K14999,K15003
gene1028	K14999,K15003
gene1029	K14999,K15003
gene1030	K14999,K15003
gene1031	K14999,K15003
gene1032	K14999,K15003
gene1033	K14999,K15003
gene1037	K01332,K01335
gene1038	K01332,K01335
gene1039	K01332,K01335
gene13791	K12259
gene13688	K03174,K09848,K09849
gene6091	K04734,K05872
gene6092	K04734,K05872
gene6093	K10732
gene6094	K16472
gene4326	K19404
gene4327	K19404
gene4328	K19404
gene4329	K19404
gene3578	K09640
gene3579	K09640
gene3580	K09640
gene11520	K01183
gene585	K13575,K13855,K13858,K13859,K13861
gene586	K02355
gene587	K20298
gene589	K14319
gene591	K18188
gene594	K18405
gene13614	K17807,K21121
gene13616	K06631
gene12134	K03094
gene1214	K06067
gene5179	K12303
gene13715	K11654,K19001
gene13716	K11654,K11727
gene9804	K12757
gene9806	K03662
gene8502	K22139
gene8503	K02435,K15456
gene8504	K19787
gene8505	K18735
gene9174	K05312
gene5060	K03022
gene5061	K07178
gene4975	K19352
gene4976	K09564
gene4977	K14777
gene4978	K04682,K06620,K13157
gene4979	K08471
gene4981	K08471
gene736	K18166
gene737	K12875
gene738	K10630
gene739	K10630
gene741	K08601
gene743	K01796
gene745	K03260
gene9106	K02353
gene4626	K03237
gene4627	K09187,K09188
gene4658	K03424
gene4659	K03540
gene4661	K02331,K10575
gene832	K02684,K16733
gene11735	K01109
gene6286	K14616
gene6287	K14616
gene6288	K14616
gene5514	K10249
gene11687	K09317
gene7371	K05749
gene7372	K05749
gene7373	K07427,K15001,K17953,K17954,K17959
gene9605	K03065,K05048
gene5744	K00884,K08669
gene5745	K08669,K08784
gene5746	K10777,K15201
gene5747	K21919
gene1986	K01304,K15013
gene1987	K20822
gene1988	K12176
gene1990	K13179
gene1991	K00248
gene1992	K01880
gene537	K08471
gene545	K20360
gene546	K06063
gene547	K15304
gene548	K03351
gene549	K13752,K13753
gene4103	K10895
gene4104	K06497
gene4105	K06497
gene4106	K06497
gene4107	K11353
gene4109	K09228,K09229
gene1773	K04661
gene11345	K03681
gene6134	K20290
gene6849	K00666
gene6850	K00666
gene5161	K21957,K21958
gene2372	K06115
gene2373	K06115
gene10885	K05727,K13708,K17697
gene10886	K12872
gene10104	K12817
gene10105	K00286
gene10106	K16500
gene13861	K06128,K07763,K07995
gene13862	K06128,K07763,K07995
gene12685	K13806
gene9301	K20967
gene1078	K01285
gene1079	K20300
gene1080	K02939
gene1082	K19328
gene7906	K14009
gene5336	K18466
gene27	K18626
gene28	K03258,K18080
gene29	K03258,K18080
gene31	K03258,K18080
gene32	K16742
gene33	K14309
gene34	K02981
gene35	K00565
gene37	K00864
gene41	K05692
gene42	K05692
gene43	K21111
gene44	K12946
gene46	K12860
gene48	K17043,K21869
gene11943	K00907,K20478
gene7904	K10649
gene9834	K10532
gene8425	K15424
gene8338	K21749
gene3979	K00416
gene3980	K11422
gene3981	K15152
gene3982	K10405
gene3983	K10575,K20129
gene5502	K09067
gene6575	K18826
gene6578	K15109
gene12381	K11140
gene12382	K11140
gene12383	K11140
gene12384	K11140
gene12385	K11140
gene12386	K11140
gene8101	K00799
gene10015	K20100
gene10132	K16913
gene14460	K22138
gene14461	K09228
gene14463	K13160,K13161
gene9576	K11253,K11254
gene9577	K11253,K11275
gene4290	K10183,K10185
gene4291	K10183,K10185
gene12169	K20295
gene10830	K09371,K09372
gene10831	K12621,K14998
gene10201	K10885
gene10204	K02871,K08798
gene6540	K19347
gene984	K01769
gene985	K01283
gene986	K14613,K17917,K20840
gene987	K06670
gene988	K07904,K07905
gene989	K15410
gene3099	K10415
gene3100	K17770
gene418	K02359
gene419	K10523
gene421	K07071
gene423	K06843
gene425	K06843
gene6667	K02152
gene6668	K20318
gene4226	K04153
gene1837	K04426,K13986
gene1839	K20526
gene1840	K20526
gene7095	K05719,K06464,K06493,K09884
gene7096	K02726
gene251	K17782
gene252	K14529
gene253	K03251
gene254	K01870
gene255	K14844
gene256	K09578
gene258	K20242
gene259	K14788
gene260	K01915
gene261	K06275
gene262	K18655,K18656
gene12875	K07178
gene12876	K10573,K10574
gene1244	K10082,K10083
gene1245	K00710
gene1247	K10756
gene1248	K01785
gene1250	K00799
gene1251	K00799
gene1252	K00799
gene1253	K00799
gene1254	K00799
gene1255	K00799
gene1256	K00799
gene1257	K00799
gene1258	K00799
gene1259	K00799
gene7622	K08451
gene7623	K07374
gene7624	K18741
gene7625	K01414,K08202
gene7626	K03062
gene7627	K19758
gene6025	K04392,K07860,K07861
gene6026	K01070,K04392,K07860,K12183
gene13228	K08471
gene13229	K08471
gene2128	K09228
gene2134	K13121
gene2138	K06546
gene14426	K17985
gene7175	K20803
gene7176	K10258
gene5567	K00049,K13403
gene14440	K11108
gene14441	K09613
gene10433	K12887
gene10436	K20182
gene4364	K16683,K16821,K16822
gene4365	K14210
gene11126	K17410
gene11127	K03249
gene11128	K06258
gene8726	K12161
gene8727	K12161
gene2698	K03768,K09563
gene2699	K03768,K09563
gene2701	K09335,K09336
gene2703	K11405
gene3534	K17503,K17504
gene3536	K01227
gene9446	K05863
gene9447	K01672
gene3161	K09083
gene13047	K13118
gene9733	K08471
gene9734	K08471
gene6463	K01231
gene6464	K11853
gene7923	K01784
gene10100	K15622
gene10102	K12627
gene7222	K15001
gene7223	K11577
gene7224	K16482,K18404
gene2492	K00728
gene2493	K13356
gene2494	K13356
gene2495	K13356
gene2496	K13356
gene2498	K13356
gene6165	K12353
gene6166	K21396
gene4769	K17499
gene5135	K00237
gene5136	K14165
gene5138	K01691
gene5139	K06134
gene5140	K04082,K15151
gene5142	K11136
gene5143	K09404
gene1997	K04133,K04134
gene1998	K01074
gene2000	K12373
gene2001	K06228
gene2002	K10720
gene2003	K07418,K14937,K14985
gene2004	K17599
gene5299	K17655
gene5300	K10838
gene5301	K10838
gene5302	K10838
